hotel_id,hotel_name,total_rooms,company_name,hotel_price,city,address,map_link,company_id
90,The Nalod Đà Nẵng,250,Nhà Khách Quốc Hội tại Đà Nẵng,1600000,Đà Nẵng,"192 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng",https://maps.app.goo.gl/52sdcD1qRADt2imq6,87
91,Tahiti Central Hotel Phú Quốc,85,Tahiti Central Hotel Phú Quốc,1000000,Phú Quốc,"Số 51 - 53 Đường Trần Hưng Đạo, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",https://maps.app.goo.gl/UouPQYa4WxPEwfcA7,88
92,The Tahiti Beach Hotel Phú Quốc,95,The Tahiti Beach Hotel Phú Quốc,1500000,Phú Quốc,"92A Trần Hưng Đạo, Dương Đông, Thành phố Phú Quốc, tỉnh Kiên Giang",https://maps.app.goo.gl/Brp2tfRNnx7pRAyy6,89
93,Tahiti Resort Phú Quốc,70,Tahiti Resort Phú Quốc,1400000,Phú Quốc,"90 - 92 Trần Hưng Đạo, Phường Dương Đông, Thành phố Phú Quốc, Kiên Giang",https://maps.app.goo.gl/8vtCgCfaEXNtbsuCA,90
94,KOI Resort & Residence Đà Nẵng,135,CÔNG TY CỔ PHẦN DU LỊCH HOÀNG CƯỜNG,3500000,Đà Nẵng,"11 Trường Sa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng",https://maps.app.goo.gl/9hAbZB58FV5j4YyG7,91
95,M Village Phú Quốc,77,M Group,1300000,Phú Quốc,"169 - 189 Trần Hưng Đạo, Xã Dương Tơ, Thành phố Phú Quốc, Kiên Giang",https://maps.app.goo.gl/kWC8eUQTzR9t4dCJ8,79
96,Crowne Plaza Phú Quốc Starbay ,308,CROWNE PLAZA,2500000,Phú Quốc,"Bãi Dài, Xã Gành Dầu, Thành phố Phú Quốc, Kiên Giang",https://maps.app.goo.gl/JwdRrTBV6pv9cb5D7,92
97,G8 Luxury Hotel and Spa Đà Nẵng,120,G8 Luxury Hotel and Spa Đà Nẵng,1200000,Đà Nẵng,"59 Lê Duẩn, Quận Hải Châu, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/k3FELMYXEcEBQjcw6,93
98,Estrella Boutique Hotel Đà Nẵng,50,Công Ty Cổ Phần Tổng Hợp Sao Biển,1000000,Đà Nẵng,"145 Nguyễn Văn Thoại, An Hải Đông, Sơn Trà, Đà Nẵng",https://maps.app.goo.gl/hmjqbKot6iWcgKJS6,94
99,Amarin Resort & Spa Phú Quốc,96,AMARIN RESORT & SPA,3680000,Phú Quốc,"Trần Hưng Đạo, Xã Dương Tơ, Thành phố Phú Quốc, Kiên Giang ",https://maps.app.goo.gl/cePc2raqFc2sdiko6,95
100,Sunset Beach Resort & Spa Phú Quốc,117, Sunset Beach Resort & Spa,3400000,Phú Quốc," 100/C2 Trần Hưng Đạo, Thị trấn Dương Đông, Thành phố Phú Quốc, Kiên Giang ",https://maps.app.goo.gl/jmnwJE8gfYzrYzbA9,96
101,Mandila Beach Hotel Đà Nẵng,130,Khách sạn Mandila Beach Đà Nẵng.,1300000,Đà Nẵng,"218 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/Qp6MPKV7722CJNMd6,97
102,Rock Mila Phú Quốc Hotel,50,Rock Mila Phú Quốc Hotel,1200000,Phú Quốc,"63/7 Trần Hưng Đạo, Thị trấn Dương Đông, Thành phố Phú Quốc, Kiên Giang",https://maps.app.goo.gl/6iHxfanDgs3qFJDb9,98
103,L'Azure Resort & Spa Phú Quốc,62,L'Azure Resort & Spa Phú Quốc,3000000,Phú Quốc,"64 Trần Hưng Đạo, phường Dương Đông, Thành phố Phú Quốc, Kiên Giang ",https://maps.app.goo.gl/AjqJyYHmakjxxwdB9,99
104,7 Seven Sea Hotel Đà Nẵng,133,Công Ty TNHH Thương Mại Dịch Vụ và Du Lịch Lý Bằng,1700000,Đà Nẵng,"150 Võ Nguyên Giáp, Phước Mỹ, Sơn Trà, Đà Nẵng, Việt Nam",https://maps.app.goo.gl/3MPFwDZQu8tvAFPMA,100
105,Test GG Map,1,ok,2650000,,123 cầu giấy,https://maps.app.goo.gl/7z4ydn8cDddHW1hq8,101
106,Ocean Bay Resort & Spa Phú Quốc,117,CÔNG TY TRÁCH NHIỆM HỮU HẠN MỘT THÀNH VIÊN OCEAN HOUSE  PHÚ QUỐC,2400000,Phú Quốc,"Trần Hưng Đạo, Xã Dương Tơ, Thành phố Phú Quốc, Kiên Giang",https://maps.app.goo.gl/cyaaNA7gEMqfj5Br6,102
