room_id,ship_id,room_name,size,max_persons,room_price,room_features
3,33,Phòng Senior Suite có ban công riêng,25,2,3650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
4,33,Phòng Senior Suite Gia đình,50,4,3650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
5,33,Phòng Triple Suite (ba người),25,3,3650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
6,33,Phòng Executive Suite,36,2,4250000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
7,33,Phòng Honeymoon Suite,50,2,4750000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,34,Phòng Junior Suite ,25,2,3300000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,34,Phòng Senior Suite,25,2,3550000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,34,Phòng Family Suite ,50,3,3550000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,34,Phòng VIP Suite ,36,2,3850000,"Nhìn ra biển, Wi-Fi, Cửa sổ từ sàn đến trần, Điều hòa, Ban công riêng"
1,35,Phòng Deluxe Window,16,2,3050000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
2,35,Phòng Deluxe Balcony,18,2,3450000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
3,35,Phòng Terrace Suite,19,2,3850000,"Wi-Fi, Nhìn ra biển, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
4,35,Phòng Terrace Suite có ban công riêng,23,2,3775000,"Nhìn ra biển, Wi-Fi, Điều hòa, Sạc điện thoại, Ban công riêng, Két an toàn"
1,36,Phòng Princess Suite ,45,2,3640000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,36,Phòng Queen Trip ,54,3,3650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,36,Phòng Queen Regent,135,2,6250000,"Nhìn ra biển, Cửa sổ từ sàn đến trần, Wi-Fi, Điều hòa, Ban công riêng"
1,37,Phòng Junior Suite,22,2,3350000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,37,Phòng Senior Suite,30,2,3450000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,37,Phòng Vip Suite ,45,2,4550000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,38,Phòng Senior Suite,30,2,3550000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,38,Phòng Senior Suite Trip,32,3,3550000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,38,Phòng Royal Suite ,50,2,5550000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,38,Phòng Presidential Suite,80,2,6950000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,39,Phòng  Suite Terrace,46,2,3300000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,39,Phòng Suite Terrace ,52,2,3775000,"Nhìn ra biển, Điều hòa, Ban công riêng"
3,39,Phòng Era Suite,74,2,5775000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
4,39,Phòng Family Suite,40,3,3300000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
1,40,Phòng Deluxe,18,2,2550000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
2,40,Phòng Premium,20,2,2650000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
3,40,Phòng Suite ,22,2,2850000,"Nhìn ra biển, Wi-Fi, Điều hòa, Ban công riêng"
